-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                           aten::linear         0.08%       1.298ms         4.98%      83.305ms     125.270us       0.000us         0.00%     688.524ms       1.035ms           0 b           0 b      79.69 Gb           0 b           665  
                                           aten::matmul         0.11%       1.827ms         3.26%      54.458ms      84.430us       0.000us         0.00%     660.846ms       1.025ms           0 b           0 b      78.16 Gb           0 b           645  
                                               aten::mm         0.56%       9.300ms         3.03%      50.731ms      78.652us     504.986ms        30.42%     660.846ms       1.025ms           0 b           0 b      78.16 Gb      78.16 Gb           645  
                                          forward_run_2         0.05%     758.032us         6.19%     103.550ms     103.550ms       0.000us         0.00%     383.402ms     383.402ms           0 b           0 b           0 b      -2.20 Gb             1  
                                          forward_run_3         0.05%     775.902us         6.19%     103.513ms     103.513ms       0.000us         0.00%     383.399ms     383.399ms           0 b           0 b           0 b      -2.20 Gb             1  
                                          forward_run_1         0.05%     758.158us         6.19%     103.564ms     103.564ms       0.000us         0.00%     383.316ms     383.316ms           0 b           0 b           0 b      -2.20 Gb             1  
                                          forward_run_0         0.05%     819.490us         6.21%     103.820ms     103.820ms       0.000us         0.00%     382.470ms     382.470ms           0 b           0 b           0 b      -2.20 Gb             1  
                                          forward_run_4         0.05%     753.483us         6.19%     103.523ms     103.523ms       0.000us         0.00%     378.327ms     378.327ms           0 b           0 b           0 b      -2.20 Gb             1  
                                          forward_run_3         0.00%       0.000us         0.00%       0.000us       0.000us     334.426ms        20.14%     334.426ms     334.426ms           0 b           0 b           0 b           0 b             1  
                                          forward_run_2         0.00%       0.000us         0.00%       0.000us       0.000us     334.387ms        20.14%     334.387ms     334.387ms           0 b           0 b           0 b           0 b             1  
                                          forward_run_4         0.00%       0.000us         0.00%       0.000us       0.000us     334.375ms        20.14%     334.375ms     334.375ms           0 b           0 b           0 b           0 b             1  
