-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                           aten::linear         0.38%       1.662ms         5.45%      23.572ms      35.447us       0.000us         0.00%     131.455ms     197.676us           0 b           0 b      19.92 Gb           0 b           665  
                                           aten::matmul         0.49%       2.103ms         4.06%      17.568ms      27.237us       0.000us         0.00%     126.565ms     196.224us           0 b           0 b      19.54 Gb           0 b           645  
                                               aten::mm         2.10%       9.108ms         3.05%      13.182ms      20.438us     126.565ms        30.23%     126.565ms     196.224us           0 b           0 b      19.54 Gb      19.54 Gb           645  
                                          forward_run_4         0.00%       0.000us         0.00%       0.000us       0.000us      86.203ms        20.59%      86.203ms      86.203ms           0 b           0 b           0 b           0 b             1  
                                          forward_run_0         0.00%       0.000us         0.00%       0.000us       0.000us      86.111ms        20.57%      86.111ms      86.111ms           0 b           0 b           0 b           0 b             1  
                                          forward_run_3         0.00%       0.000us         0.00%       0.000us       0.000us      86.052ms        20.55%      86.052ms      86.052ms           0 b           0 b           0 b           0 b             1  
                                          forward_run_2         0.00%       0.000us         0.00%       0.000us       0.000us      86.041ms        20.55%      86.041ms      86.041ms           0 b           0 b           0 b           0 b             1  
                                          forward_run_1         0.00%       0.000us         0.00%       0.000us       0.000us      86.035ms        20.55%      86.035ms      86.035ms           0 b           0 b           0 b           0 b             1  
                                          forward_run_0         0.19%     806.085us         8.96%      38.789ms      38.789ms       0.000us         0.00%      82.777ms      82.777ms           0 b           0 b           0 b    -562.01 Mb             1  
                                          forward_run_1         0.17%     756.537us         8.70%      37.633ms      37.633ms       0.000us         0.00%      81.112ms      81.112ms           0 b           0 b           0 b    -562.01 Mb             1  
                                          forward_run_3         0.17%     756.487us         8.45%      36.572ms      36.572ms       0.000us         0.00%      78.486ms      78.486ms           0 b           0 b           0 b    -562.01 Mb             1  
