-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                    Command Buffer Full        46.87%        7.801s        46.87%        7.801s       1.996ms       17.413s       104.75%       17.413s       4.456ms           0 b           0 b           0 b           0 b          3908  
                                       cudaLaunchKernel         0.16%      27.053ms        34.84%        5.799s     778.405us       0.000us         0.00%       11.903s       1.598ms           0 b           0 b           0 b           0 b          7450  
                                           aten::linear         0.01%       1.613ms         6.36%        1.058s       1.592ms       0.000us         0.00%        7.962s      11.973ms           0 b           0 b     637.50 Gb           0 b           665  
                                           aten::matmul         0.01%       2.114ms         5.97%     993.047ms       1.540ms       0.000us         0.00%        7.686s      11.916ms           0 b           0 b     625.31 Gb           0 b           645  
                                               aten::mm         0.06%       9.879ms         5.94%     988.600ms       1.533ms        4.133s        24.86%        7.686s      11.916ms           0 b           0 b     625.31 Gb     625.31 Gb           645  
                                              aten::mul         0.05%       7.764ms         6.24%        1.038s     768.797us        2.246s        13.51%        6.739s       4.992ms           0 b           0 b    2205.04 Gb    2205.04 Gb          1350  
                                          forward_run_2         0.00%     831.247us         9.64%        1.604s        1.604s       0.000us         0.00%        6.694s        6.694s           0 b           0 b           0 b     -17.56 Gb             1  
                                          forward_run_4         0.01%     895.198us         9.66%        1.608s        1.608s       0.000us         0.00%        6.688s        6.688s           0 b           0 b           0 b     -17.56 Gb             1  
                                          forward_run_3         0.00%     826.150us         9.59%        1.596s        1.596s       0.000us         0.00%        6.684s        6.684s           0 b           0 b           0 b     -17.56 Gb             1  
                                          forward_run_0         0.01%     991.158us         9.64%        1.604s        1.604s       0.000us         0.00%        6.676s        6.676s           0 b           0 b           0 b     -17.56 Gb             1  
                                          forward_run_1         0.01%     860.653us         9.66%        1.608s        1.608s       0.000us         0.00%        6.663s        6.663s           0 b           0 b           0 b     -17.56 Gb             1  
