-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                           aten::linear         0.09%       1.456ms         5.56%      91.878ms     138.163us       0.000us         0.00%     690.083ms       1.038ms           0 b           0 b      79.69 Gb           0 b           665  
                                           aten::matmul         0.12%       1.941ms         4.47%      73.920ms     114.605us       0.000us         0.00%     665.488ms       1.032ms           0 b           0 b      78.16 Gb           0 b           645  
                                               aten::mm         0.60%       9.871ms         4.23%      69.892ms     108.360us     505.961ms        30.89%     665.488ms       1.032ms           0 b           0 b      78.16 Gb      78.16 Gb           645  
                                          forward_run_0         0.07%       1.152ms         6.32%     104.565ms     104.565ms       0.000us         0.00%     384.436ms     384.436ms           0 b           0 b           0 b      -2.20 Gb             1  
                                          forward_run_1         0.05%     764.970us         6.15%     101.617ms     101.617ms       0.000us         0.00%     384.123ms     384.123ms           0 b           0 b           0 b      -2.20 Gb             1  
                                          forward_run_4         0.04%     722.205us         6.15%     101.641ms     101.641ms       0.000us         0.00%     368.703ms     368.703ms           0 b           0 b           0 b      -2.20 Gb             1  
                                          forward_run_3         0.05%     746.430us         6.14%     101.440ms     101.440ms       0.000us         0.00%     367.863ms     367.863ms           0 b           0 b           0 b      -2.20 Gb             1  
                                          forward_run_2         0.05%     755.777us         6.13%     101.373ms     101.373ms       0.000us         0.00%     366.771ms     366.771ms           0 b           0 b           0 b      -2.20 Gb             1  
                                          forward_run_0         0.00%       0.000us         0.00%       0.000us       0.000us     331.108ms        20.22%     331.108ms     331.108ms           0 b           0 b           0 b           0 b             1  
                                          forward_run_4         0.00%       0.000us         0.00%       0.000us       0.000us     330.655ms        20.19%     330.655ms     330.655ms           0 b           0 b           0 b           0 b             1  
