-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                           aten::linear         0.00%     702.826us         2.02%     408.233ms     613.884us       0.000us         0.00%       12.927s      19.439ms           0 b           0 b     318.75 Gb           0 b           665  
                                           aten::matmul         0.00%     953.324us         1.78%     360.130ms     558.341us       0.000us         0.00%       12.607s      19.546ms           0 b           0 b     312.66 Gb           0 b           645  
                                               aten::mm         0.05%      10.001ms         1.77%     357.972ms     554.995us        9.667s        47.79%       12.607s      19.546ms           0 b           0 b     312.66 Gb     312.66 Gb           645  
                                    Command Buffer Full        25.68%        5.195s        25.68%        5.195s       3.473ms        5.886s        29.10%        5.886s       3.935ms           0 b           0 b           0 b           0 b          1496  
         ampere_bf16_s16816gemm_bf16_128x64_ldg8_f2f_tn         0.00%       0.000us         0.00%       0.000us       0.000us        5.511s        27.24%        5.511s      17.223ms           0 b           0 b           0 b           0 b           320  
                                          forward_run_2         0.00%     479.671us         5.26%        1.064s        1.064s       0.000us         0.00%        4.839s        4.839s           0 b           0 b           0 b      -8.78 Gb             1  
                                          forward_run_1         0.00%     478.270us         5.26%        1.064s        1.064s       0.000us         0.00%        4.839s        4.839s           0 b           0 b           0 b      -8.78 Gb             1  
                                          forward_run_4         0.00%     474.621us         5.26%        1.064s        1.064s       0.000us         0.00%        4.838s        4.838s           0 b           0 b           0 b      -8.78 Gb             1  
                                          forward_run_3         0.00%     481.970us         5.26%        1.063s        1.063s       0.000us         0.00%        4.838s        4.838s           0 b           0 b           0 b      -8.78 Gb             1  
                                          forward_run_0         0.00%     462.803us         5.26%        1.063s        1.063s       0.000us         0.00%        4.833s        4.833s           0 b           0 b           0 b      -8.78 Gb             1  
