-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                    Command Buffer Full        46.62%        7.708s        46.62%        7.708s       1.987ms       16.991s       102.89%       16.991s       4.380ms           0 b           0 b           0 b           0 b          3879  
                                       cudaLaunchKernel         0.18%      29.498ms        34.41%        5.689s     768.198us       0.000us         0.00%       11.461s       1.548ms           0 b           0 b           0 b           0 b          7405  
                                           aten::linear         0.01%       1.546ms         6.39%        1.056s       1.589ms       0.000us         0.00%        8.004s      12.036ms           0 b           0 b     637.50 Gb           0 b           665  
                                           aten::matmul         0.01%       1.948ms         5.99%     991.024ms       1.536ms       0.000us         0.00%        7.727s      11.980ms           0 b           0 b     625.31 Gb           0 b           645  
                                               aten::mm         0.07%      11.382ms         5.97%     986.825ms       1.530ms        4.152s        25.14%        7.727s      11.980ms           0 b           0 b     625.31 Gb     625.31 Gb           645  
                                          forward_run_3         0.01%     920.152us         9.66%        1.597s        1.597s       0.000us         0.00%        6.603s        6.603s           0 b           0 b           0 b     -17.56 Gb             1  
                                          forward_run_2         0.01%     914.627us         9.57%        1.583s        1.583s       0.000us         0.00%        6.576s        6.576s           0 b           0 b           0 b     -17.56 Gb             1  
                                          forward_run_4         0.01%       1.165ms         9.62%        1.590s        1.590s       0.000us         0.00%        6.560s        6.560s           0 b           0 b           0 b     -17.56 Gb             1  
                                          forward_run_1         0.01%     839.010us         9.54%        1.578s        1.578s       0.000us         0.00%        6.547s        6.547s           0 b           0 b           0 b     -17.56 Gb             1  
                                          forward_run_0         0.01%     920.048us         9.62%        1.590s        1.590s       0.000us         0.00%        6.539s        6.539s           0 b           0 b           0 b     -17.56 Gb             1  
                                              aten::mul         0.05%       8.743ms         5.89%     973.472ms     721.091us        2.247s        13.61%        6.402s       4.742ms           0 b           0 b    2205.04 Gb    2205.04 Gb          1350  
