-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                           aten::linear         0.02%       1.329ms         5.74%     419.281ms     630.497us       0.000us         0.00%        3.405s       5.120ms           0 b           0 b     318.75 Gb           0 b           665  
                                    Command Buffer Full        33.86%        2.474s        33.86%        2.474s       1.240ms        3.338s        45.78%        3.338s       1.673ms           0 b           0 b           0 b           0 b          1995  
                                           aten::matmul         0.02%       1.809ms         5.00%     365.138ms     566.106us       0.000us         0.00%        3.270s       5.070ms           0 b           0 b     312.66 Gb           0 b           645  
                                               aten::mm         0.14%      10.370ms         4.95%     361.386ms     560.289us        2.077s        28.48%        3.270s       5.070ms           0 b           0 b     312.66 Gb     312.66 Gb           645  
                                          forward_run_4         0.01%     828.023us         7.31%     533.936ms     533.936ms       0.000us         0.00%        2.061s        2.061s           0 b           0 b           0 b      -8.78 Gb             1  
                                          forward_run_0         0.01%     882.490us         7.35%     537.125ms     537.125ms       0.000us         0.00%        2.061s        2.061s           0 b           0 b           0 b      -8.78 Gb             1  
                                          forward_run_3         0.01%     767.146us         7.29%     533.003ms     533.003ms       0.000us         0.00%        2.058s        2.058s           0 b           0 b           0 b      -8.78 Gb             1  
                                          forward_run_2         0.01%     774.780us         7.30%     533.682ms     533.682ms       0.000us         0.00%        2.058s        2.058s           0 b           0 b           0 b      -8.78 Gb             1  
                                          forward_run_1         0.01%     802.043us         7.32%     534.489ms     534.489ms       0.000us         0.00%        2.057s        2.057s           0 b           0 b           0 b      -8.78 Gb             1  
                                       cudaLaunchKernel         0.31%      22.754ms        24.54%        1.793s     307.599us       0.000us         0.00%        1.844s     316.329us           0 b           0 b           0 b           0 b          5830  
