-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                           aten::linear         0.10%       1.692ms         4.74%      78.897ms     118.643us       0.000us         0.00%     659.586ms     991.859us           0 b           0 b      79.69 Gb           0 b           665  
                                           aten::matmul         0.12%       2.006ms         3.01%      50.090ms      77.660us       0.000us         0.00%     633.372ms     981.972us           0 b           0 b      78.16 Gb           0 b           645  
                                               aten::mm         0.61%      10.135ms         2.77%      46.099ms      71.471us     506.975ms        30.73%     633.372ms     981.972us           0 b           0 b      78.16 Gb      78.16 Gb           645  
                                          forward_run_0         0.05%     817.157us         6.30%     104.908ms     104.908ms       0.000us         0.00%     382.891ms     382.891ms           0 b           0 b           0 b      -2.20 Gb             1  
                                          forward_run_1         0.05%     781.111us         6.18%     102.808ms     102.808ms       0.000us         0.00%     378.711ms     378.711ms           0 b           0 b           0 b      -2.20 Gb             1  
                                          forward_run_4         0.06%     945.844us         6.23%     103.657ms     103.657ms       0.000us         0.00%     369.905ms     369.905ms           0 b           0 b           0 b      -2.20 Gb             1  
                                          forward_run_2         0.04%     742.081us         6.18%     102.840ms     102.840ms       0.000us         0.00%     369.856ms     369.856ms           0 b           0 b           0 b      -2.20 Gb             1  
                                          forward_run_3         0.05%     753.707us         6.18%     102.843ms     102.843ms       0.000us         0.00%     369.431ms     369.431ms           0 b           0 b           0 b      -2.20 Gb             1  
                                          forward_run_4         0.00%       0.000us         0.00%       0.000us       0.000us     332.849ms        20.17%     332.849ms     332.849ms           0 b           0 b           0 b           0 b             1  
                                          forward_run_2         0.00%       0.000us         0.00%       0.000us       0.000us     332.532ms        20.16%     332.532ms     332.532ms           0 b           0 b           0 b           0 b             1  
                                          forward_run_3         0.00%       0.000us         0.00%       0.000us       0.000us     332.396ms        20.15%     332.396ms     332.396ms           0 b           0 b           0 b           0 b             1  
