-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                           aten::linear         0.02%     802.077us         2.99%     154.743ms     232.697us       0.000us         0.00%        2.884s       4.337ms           0 b           0 b      79.69 Gb           0 b           665  
                                           aten::matmul         0.02%     981.892us         1.20%      62.073ms      96.237us       0.000us         0.00%        2.816s       4.365ms           0 b           0 b      78.16 Gb           0 b           645  
                                               aten::mm         0.11%       5.501ms         1.16%      59.915ms      92.891us        2.398s        46.44%        2.816s       4.365ms           0 b           0 b      78.16 Gb      78.16 Gb           645  
         ampere_bf16_s16816gemm_bf16_128x64_ldg8_f2f_tn         0.00%       0.000us         0.00%       0.000us       0.000us        1.375s        26.62%        1.375s       4.296ms           0 b           0 b           0 b           0 b           320  
                                          forward_run_0         0.01%     403.533us         4.81%     248.738ms     248.738ms       0.000us         0.00%        1.192s        1.192s           0 b           0 b           0 b      -2.20 Gb             1  
                                          forward_run_1         0.01%     387.045us         4.80%     248.103ms     248.103ms       0.000us         0.00%        1.192s        1.192s           0 b           0 b           0 b      -2.20 Gb             1  
                                          forward_run_4         0.01%     366.522us         4.80%     248.112ms     248.112ms       0.000us         0.00%        1.144s        1.144s           0 b           0 b           0 b      -2.20 Gb             1  
                                          forward_run_3         0.01%     370.908us         4.80%     248.156ms     248.156ms       0.000us         0.00%        1.144s        1.144s           0 b           0 b           0 b      -2.20 Gb             1  
                                          forward_run_2         0.01%     371.557us         4.80%     248.136ms     248.136ms       0.000us         0.00%        1.144s        1.144s           0 b           0 b           0 b      -2.20 Gb             1  
                                          forward_run_4         0.00%       0.000us         0.00%       0.000us       0.000us        1.034s        20.02%        1.034s        1.034s           0 b           0 b           0 b           0 b             1  
