-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                                           aten::linear         0.02%       1.570ms         5.75%     420.341ms     632.091us       0.000us         0.00%        3.400s       5.113ms           0 b           0 b     318.75 Gb           0 b           665
                                    Command Buffer Full        33.88%        2.477s        33.88%        2.477s       1.241ms        3.344s        45.84%        3.344s       1.675ms           0 b           0 b           0 b           0 b          1996
                                           aten::matmul         0.03%       2.086ms         5.01%     366.084ms     567.572us       0.000us         0.00%        3.265s       5.063ms           0 b           0 b     312.66 Gb           0 b           645
                                               aten::mm         0.14%      10.122ms         4.95%     361.648ms     560.694us        2.069s        28.36%        3.265s       5.063ms           0 b           0 b     312.66 Gb     312.66 Gb           645
                                          forward_run_0         0.01%     885.143us         7.37%     538.996ms     538.996ms       0.000us         0.00%        2.073s        2.073s           0 b           0 b           0 b      -8.78 Gb             1
                                          forward_run_1         0.01%     808.817us         7.32%     534.827ms     534.827ms       0.000us         0.00%        2.067s        2.067s           0 b           0 b           0 b      -8.78 Gb             1
                                          forward_run_4         0.01%     785.885us         7.31%     534.151ms     534.151ms       0.000us         0.00%        2.066s        2.066s           0 b           0 b           0 b      -8.78 Gb             1
                                          forward_run_3         0.01%     913.722us         7.31%     534.753ms     534.753ms       0.000us         0.00%        2.065s        2.065s           0 b           0 b           0 b      -8.78 Gb             1
                                          forward_run_2         0.01%     812.333us         7.30%     534.044ms     534.044ms       0.000us         0.00%        2.057s        2.057s           0 b           0 b           0 b      -8.78 Gb             1
                                       cudaLaunchKernel         0.30%      21.807ms        24.81%        1.814s     308.710us       0.000us         0.00%        1.850s     314.831us           0 b           0 b           0 b           0 b          5875
                                              aten::mul         0.10%       7.669ms         7.09%     518.329ms     383.947us        1.117s        15.31%        1.806s       1.338ms           0 b           0 b    1102.52 Gb    1102.52 Gb          1350
