-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                           aten::linear         0.10%       1.607ms         4.86%      81.423ms     122.441us       0.000us         0.00%     671.148ms       1.009ms           0 b           0 b      79.69 Gb           0 b           665  
                                           aten::matmul         0.12%       2.044ms         3.15%      52.756ms      81.793us       0.000us         0.00%     644.200ms     998.760us           0 b           0 b      78.16 Gb           0 b           645  
                                               aten::mm         0.58%       9.698ms         2.90%      48.583ms      75.322us     505.093ms        30.44%     644.200ms     998.760us           0 b           0 b      78.16 Gb      78.16 Gb           645  
                                          forward_run_0         0.05%     771.396us         6.30%     105.455ms     105.455ms       0.000us         0.00%     392.693ms     392.693ms           0 b           0 b           0 b      -2.20 Gb             1  
                                          forward_run_1         0.05%     758.414us         6.18%     103.415ms     103.415ms       0.000us         0.00%     386.424ms     386.424ms           0 b           0 b           0 b      -2.20 Gb             1  
                                          forward_run_4         0.04%     734.423us         6.20%     103.698ms     103.698ms       0.000us         0.00%     378.759ms     378.759ms           0 b           0 b           0 b      -2.20 Gb             1  
                                          forward_run_3         0.04%     747.837us         6.19%     103.640ms     103.640ms       0.000us         0.00%     376.734ms     376.734ms           0 b           0 b           0 b      -2.20 Gb             1  
                                          forward_run_2         0.05%     779.188us         6.20%     103.769ms     103.769ms       0.000us         0.00%     376.218ms     376.218ms           0 b           0 b           0 b      -2.20 Gb             1  
                                          forward_run_2         0.00%       0.000us         0.00%       0.000us       0.000us     334.726ms        20.17%     334.726ms     334.726ms           0 b           0 b           0 b           0 b             1  
                                          forward_run_4         0.00%       0.000us         0.00%       0.000us       0.000us     334.654ms        20.17%     334.654ms     334.654ms           0 b           0 b           0 b           0 b             1  
                                          forward_run_3         0.00%       0.000us         0.00%       0.000us       0.000us     334.623ms        20.16%     334.623ms     334.623ms           0 b           0 b           0 b           0 b             1  
