-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                           aten::linear         0.11%       1.787ms         4.84%      76.123ms     114.470us       0.000us         0.00%     672.810ms       1.012ms           0 b           0 b      79.69 Gb           0 b           665  
                                           aten::matmul         0.15%       2.405ms         3.15%      49.493ms      76.733us       0.000us         0.00%     647.375ms       1.004ms           0 b           0 b      78.16 Gb           0 b           645  
                                               aten::mm         0.66%      10.431ms         2.84%      44.696ms      69.297us     519.197ms        33.34%     647.375ms       1.004ms           0 b           0 b      78.16 Gb      78.16 Gb           645  
                                          forward_run_0         0.05%     838.832us         6.24%      98.120ms      98.120ms       0.000us         0.00%     356.654ms     356.654ms           0 b           0 b           0 b      -2.20 Gb             1  
                                          forward_run_1         0.05%     797.166us         6.17%      97.012ms      97.012ms       0.000us         0.00%     356.504ms     356.504ms           0 b           0 b           0 b      -2.20 Gb             1  
                                          forward_run_2         0.06%     969.539us         6.15%      96.625ms      96.625ms       0.000us         0.00%     351.154ms     351.154ms           0 b           0 b           0 b      -2.20 Gb             1  
                                          forward_run_4         0.06%     894.041us         6.18%      97.085ms      97.085ms       0.000us         0.00%     348.497ms     348.497ms           0 b           0 b           0 b      -2.20 Gb             1  
                                          forward_run_3         0.05%     801.543us         6.17%      97.017ms      97.017ms       0.000us         0.00%     346.892ms     346.892ms           0 b           0 b           0 b      -2.20 Gb             1  
                                          forward_run_2         0.00%       0.000us         0.00%       0.000us       0.000us     315.229ms        20.24%     315.229ms     315.229ms           0 b           0 b           0 b           0 b             1  
                                          forward_run_4         0.00%       0.000us         0.00%       0.000us       0.000us     314.936ms        20.22%     314.936ms     314.936ms           0 b           0 b           0 b           0 b             1  
                                          forward_run_3         0.00%       0.000us         0.00%       0.000us       0.000us     313.387ms        20.12%     313.387ms     313.387ms           0 b           0 b           0 b           0 b             1  
