-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                    Command Buffer Full        46.46%        7.312s        46.46%        7.312s       1.895ms       15.147s        96.37%       15.147s       3.926ms           0 b           0 b           0 b           0 b          3858  
                                       cudaLaunchKernel         0.21%      33.303ms        34.84%        5.483s     736.007us       0.000us         0.00%        9.966s       1.338ms           0 b           0 b           0 b           0 b          7450  
                                           aten::linear         0.01%       1.861ms         6.05%     952.849ms       1.433ms       0.000us         0.00%        8.177s      12.296ms           0 b           0 b     637.50 Gb           0 b           665  
                                           aten::matmul         0.02%       2.495ms         5.69%     895.079ms       1.388ms       0.000us         0.00%        7.905s      12.255ms           0 b           0 b     625.31 Gb           0 b           645  
                                               aten::mm         0.07%      11.600ms         5.65%     889.800ms       1.380ms        4.250s        27.04%        7.905s      12.255ms           0 b           0 b     625.31 Gb     625.31 Gb           645  
                                          forward_run_3         0.01%     873.973us         9.61%        1.513s        1.513s       0.000us         0.00%        6.079s        6.079s           0 b           0 b           0 b     -17.56 Gb             1  
                                          forward_run_4         0.01%     865.223us         9.64%        1.516s        1.516s       0.000us         0.00%        6.064s        6.064s           0 b           0 b           0 b     -17.56 Gb             1  
                                          forward_run_0         0.01%     918.041us         9.62%        1.514s        1.514s       0.000us         0.00%        6.031s        6.031s           0 b           0 b           0 b     -17.56 Gb             1  
                                          forward_run_1         0.01%     884.934us         9.59%        1.509s        1.509s       0.000us         0.00%        6.024s        6.024s           0 b           0 b           0 b     -17.56 Gb             1  
                                          forward_run_2         0.01%     954.641us         9.55%        1.504s        1.504s       0.000us         0.00%        6.021s        6.021s           0 b           0 b           0 b     -17.56 Gb             1  
                                              aten::mul         0.06%       9.512ms         6.20%     975.855ms     722.856us        2.047s        13.02%        5.803s       4.298ms           0 b           0 b    2205.04 Gb    2205.04 Gb          1350  
