-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                           aten::linear         0.03%       1.894ms         5.30%     367.566ms     552.730us       0.000us         0.00%        3.458s       5.201ms           0 b           0 b     318.75 Gb           0 b           665  
                                           aten::matmul         0.03%       2.412ms         4.63%     321.230ms     498.032us       0.000us         0.00%        3.325s       5.156ms           0 b           0 b     312.66 Gb           0 b           645  
                                               aten::mm         0.16%      11.204ms         4.56%     316.255ms     490.317us        2.124s        30.69%        3.325s       5.156ms           0 b           0 b     312.66 Gb     312.66 Gb           645  
                                    Command Buffer Full        33.49%        2.323s        33.49%        2.323s       1.177ms        3.126s        45.17%        3.126s       1.585ms           0 b           0 b           0 b           0 b          1973  
                                          forward_run_4         0.01%     874.128us         7.35%     509.737ms     509.737ms       0.000us         0.00%        1.965s        1.965s           0 b           0 b           0 b      -8.78 Gb             1  
                                          forward_run_2         0.01%     882.560us         7.41%     513.864ms     513.864ms       0.000us         0.00%        1.950s        1.950s           0 b           0 b           0 b      -8.78 Gb             1  
                                          forward_run_0         0.01%     950.454us         7.37%     511.044ms     511.044ms       0.000us         0.00%        1.947s        1.947s           0 b           0 b           0 b      -8.78 Gb             1  
                                          forward_run_1         0.02%       1.069ms         7.33%     508.455ms     508.455ms       0.000us         0.00%        1.942s        1.942s           0 b           0 b           0 b      -8.78 Gb             1  
                                          forward_run_3         0.02%       1.055ms         7.33%     508.753ms     508.753ms       0.000us         0.00%        1.933s        1.933s           0 b           0 b           0 b      -8.78 Gb             1  
                                       cudaLaunchKernel         0.39%      27.063ms        24.93%        1.729s     294.332us       0.000us         0.00%        1.661s     282.771us           0 b           0 b           0 b           0 b          5875  
