-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                    Command Buffer Full        64.41%       20.044s        64.41%       20.044s       2.623ms       38.947s       125.26%       38.947s       5.097ms           0 b           0 b           0 b           0 b          7641  
                                           aten::linear         0.01%       2.584ms         8.35%        2.597s       2.497ms       0.000us         0.00%       30.319s      29.153ms           0 b           0 b     997.50 Gb           0 b          1040  
                                           aten::matmul         0.01%       3.910ms         7.56%        2.353s       2.342ms       0.000us         0.00%       29.536s      29.390ms           0 b           0 b     977.66 Gb           0 b          1005  
                                               aten::mm         0.06%      18.229ms         7.54%        2.345s       2.334ms       13.792s        44.36%       29.536s      29.390ms           0 b           0 b     977.66 Gb     977.66 Gb          1005  
                                       cudaLaunchKernel         0.16%      50.826ms        51.09%       15.900s       1.372ms       0.000us         0.00%       21.669s       1.870ms           0 b           0 b           0 b           0 b         11585  
                                          forward_run_1         0.00%       1.449ms        13.12%        4.083s        4.083s       0.000us         0.00%       13.656s       13.656s           0 b           0 b           0 b     -26.53 Gb             1  
                                          forward_run_4         0.00%       1.370ms        13.16%        4.096s        4.096s       0.000us         0.00%       13.646s       13.646s           0 b           0 b           0 b     -26.53 Gb             1  
                                          forward_run_2         0.00%       1.412ms        13.11%        4.080s        4.080s       0.000us         0.00%       13.601s       13.601s           0 b           0 b           0 b     -26.53 Gb             1  
                                          forward_run_3         0.00%       1.367ms        13.14%        4.090s        4.090s       0.000us         0.00%       13.591s       13.591s           0 b           0 b           0 b     -26.53 Gb             1  
                                          forward_run_0         0.00%       1.421ms        13.11%        4.079s        4.079s       0.000us         0.00%       13.473s       13.473s           0 b           0 b           0 b     -26.53 Gb             1  
