-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                           aten::linear         0.11%       1.457ms         4.13%      56.340ms      84.721us       0.000us         0.00%     650.567ms     978.296us           0 b           0 b      79.69 Gb           0 b           665  
                                           aten::matmul         0.15%       2.087ms         3.48%      47.429ms      73.533us       0.000us         0.00%     624.843ms     968.748us           0 b           0 b      78.16 Gb           0 b           645  
                                               aten::mm         0.73%       9.920ms         3.18%      43.417ms      67.312us     507.869ms        37.62%     624.843ms     968.748us           0 b           0 b      78.16 Gb      78.16 Gb           645  
              nvjet_tst_192x192_64x4_2x1_v_bz_coopB_TNN         0.00%       0.000us         0.00%       0.000us       0.000us     303.381ms        22.47%     303.381ms     948.065us           0 b           0 b           0 b           0 b           320  
                                          forward_run_0         0.06%     804.423us         5.53%      75.363ms      75.363ms       0.000us         0.00%     299.125ms     299.125ms           0 b           0 b           0 b      -2.20 Gb             1  
                                          forward_run_1         0.05%     745.214us         5.39%      73.539ms      73.539ms       0.000us         0.00%     298.025ms     298.025ms           0 b           0 b           0 b      -2.20 Gb             1  
                                          forward_run_4         0.05%     728.970us         5.43%      73.991ms      73.991ms       0.000us         0.00%     281.827ms     281.827ms           0 b           0 b           0 b      -2.20 Gb             1  
                                            aten::copy_         0.33%       4.559ms         3.28%      44.778ms      32.099us     256.843ms        19.03%     281.819ms     202.021us           0 b           0 b           0 b           0 b          1395  
                                          forward_run_2         0.05%     742.363us         5.41%      73.758ms      73.758ms       0.000us         0.00%     281.379ms     281.379ms           0 b           0 b           0 b      -2.20 Gb             1  
                                          forward_run_3         0.06%     770.238us         5.41%      73.698ms      73.698ms       0.000us         0.00%     281.351ms     281.351ms           0 b           0 b           0 b      -2.20 Gb             1  
