-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                           aten::linear         0.01%       1.579ms         5.27%     748.154ms       1.125ms       0.000us         0.00%        7.120s      10.707ms           0 b           0 b     637.50 Gb           0 b           665  
                                           aten::matmul         0.02%       2.303ms         5.02%     711.549ms       1.103ms       0.000us         0.00%        6.866s      10.644ms           0 b           0 b     625.31 Gb           0 b           645  
                                               aten::mm         0.08%      10.839ms         4.98%     706.748ms       1.096ms        4.159s        29.35%        6.866s      10.644ms           0 b           0 b     625.31 Gb     625.31 Gb           645  
                                    Command Buffer Full        37.62%        5.338s        37.62%        5.338s       2.268ms        6.088s        42.96%        6.088s       2.586ms           0 b           0 b           0 b           0 b          2354  
                                          forward_run_0         0.01%     964.308us         7.88%        1.117s        1.117s       0.000us         0.00%        3.850s        3.850s           0 b           0 b           0 b     -17.56 Gb             1  
                                          forward_run_2         0.01%     884.662us         7.86%        1.115s        1.115s       0.000us         0.00%        3.846s        3.846s           0 b           0 b           0 b     -17.56 Gb             1  
                                          forward_run_3         0.01%     862.602us         7.86%        1.115s        1.115s       0.000us         0.00%        3.841s        3.841s           0 b           0 b           0 b     -17.56 Gb             1  
                                          forward_run_4         0.01%     902.050us         7.82%        1.109s        1.109s       0.000us         0.00%        3.841s        3.841s           0 b           0 b           0 b     -17.56 Gb             1  
                                          forward_run_1         0.01%     942.605us         7.84%        1.112s        1.112s       0.000us         0.00%        3.839s        3.839s           0 b           0 b           0 b     -17.56 Gb             1  
                                            aten::copy_         0.04%       5.967ms         9.01%        1.278s     916.143us        2.072s        14.62%        3.707s       2.657ms           0 b           0 b           0 b           0 b          1395  
                                           aten::conv1d         0.00%     410.721us         2.93%     415.875ms       3.081ms       0.000us         0.00%        3.378s      25.019ms           0 b           0 b     405.01 Gb           0 b           135  
