-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                           aten::linear         0.00%     717.480us         5.69%        1.305s       1.962ms       0.000us         0.00%       13.476s      20.265ms           0 b           0 b     318.75 Gb           0 b           665  
                                           aten::matmul         0.00%     923.903us         3.63%     833.438ms       1.292ms       0.000us         0.00%       13.159s      20.401ms           0 b           0 b     312.66 Gb           0 b           645  
                                               aten::mm         0.04%       9.814ms         3.63%     831.362ms       1.289ms        9.627s        42.00%       13.159s      20.401ms           0 b           0 b     312.66 Gb     312.66 Gb           645  
                                    Command Buffer Full        34.85%        7.991s        34.85%        7.991s       3.571ms        9.959s        43.44%        9.959s       4.450ms           0 b           0 b           0 b           0 b          2238  
                                       cudaLaunchKernel         0.06%      13.907ms        28.80%        6.604s       1.016ms       0.000us         0.00%        7.493s       1.153ms           0 b           0 b           0 b           0 b          6500  
                                          forward_run_2         0.00%     474.095us         7.08%        1.623s        1.623s       0.000us         0.00%        6.293s        6.293s           0 b           0 b           0 b      -8.78 Gb             1  
                                          forward_run_4         0.00%     491.241us         7.08%        1.623s        1.623s       0.000us         0.00%        6.292s        6.292s           0 b           0 b           0 b      -8.78 Gb             1  
                                          forward_run_3         0.00%     493.476us         7.08%        1.622s        1.622s       0.000us         0.00%        6.292s        6.292s           0 b           0 b           0 b      -8.78 Gb             1  
                                          forward_run_0         0.00%     500.755us         7.06%        1.620s        1.620s       0.000us         0.00%        6.286s        6.286s           0 b           0 b           0 b      -8.78 Gb             1  
                                          forward_run_1         0.00%     484.855us         7.07%        1.620s        1.620s       0.000us         0.00%        6.281s        6.281s           0 b           0 b           0 b      -8.78 Gb             1  
