-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                    Command Buffer Full        45.51%        7.068s        45.51%        7.068s       1.889ms       14.334s        92.41%       14.334s       3.831ms           0 b           0 b           0 b           0 b          3741  
                                       cudaLaunchKernel         0.21%      32.946ms        35.34%        5.487s     764.273us       0.000us         0.00%        8.915s       1.242ms           0 b           0 b           0 b           0 b          7180  
                                           aten::linear         0.01%       1.739ms         4.48%     695.562ms       1.046ms       0.000us         0.00%        8.154s      12.261ms           0 b           0 b     637.50 Gb           0 b           665  
                                           aten::matmul         0.02%       2.433ms         4.14%     642.225ms     995.698us       0.000us         0.00%        7.868s      12.198ms           0 b           0 b     625.31 Gb           0 b           645  
                                               aten::mm         0.07%      11.562ms         4.10%     636.968ms     987.547us        4.251s        27.41%        7.868s      12.198ms           0 b           0 b     625.31 Gb     625.31 Gb           645  
                                          forward_run_4         0.01%     974.814us         9.45%        1.467s        1.467s       0.000us         0.00%        5.828s        5.828s           0 b           0 b           0 b     -17.56 Gb             1  
                                          forward_run_0         0.01%       1.289ms         9.48%        1.472s        1.472s       0.000us         0.00%        5.820s        5.820s           0 b           0 b           0 b     -17.56 Gb             1  
                                          forward_run_1         0.01%       1.037ms         9.44%        1.466s        1.466s       0.000us         0.00%        5.802s        5.802s           0 b           0 b           0 b     -17.56 Gb             1  
                                          forward_run_3         0.01%     973.923us         9.39%        1.458s        1.458s       0.000us         0.00%        5.801s        5.801s           0 b           0 b           0 b     -17.56 Gb             1  
                                          forward_run_2         0.01%       1.055ms         9.45%        1.467s        1.467s       0.000us         0.00%        5.787s        5.787s           0 b           0 b           0 b     -17.56 Gb             1  
                                              aten::mul         0.06%       9.082ms        11.72%        1.820s       1.445ms        1.925s        12.41%        5.158s       4.094ms           0 b           0 b    2070.04 Gb    2070.04 Gb          1260  
