-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                    Command Buffer Full        62.18%       22.199s        62.18%       22.199s       2.841ms       72.722s       203.84%       72.722s       9.308ms           0 b           0 b           0 b           0 b          7813  
                                       cudaLaunchKernel         0.15%      52.960ms        54.22%       19.357s       1.672ms       0.000us         0.00%       58.888s       5.088ms           0 b           0 b           0 b           0 b         11575  
                                              aten::mul         0.03%       9.161ms        10.55%        3.768s       2.991ms        3.811s        10.68%       27.442s      21.779ms           0 b           0 b    4140.08 Gb    4140.08 Gb          1260  
                                          forward_run_1         0.00%       1.184ms        12.62%        4.505s        4.505s       0.000us         0.00%       21.383s       21.383s           0 b           0 b           0 b     -35.13 Gb             1  
                                          forward_run_0         0.00%     987.105us        12.58%        4.492s        4.492s       0.000us         0.00%       21.369s       21.369s           0 b           0 b           0 b     -35.13 Gb             1  
                                          forward_run_2         0.00%       1.046ms        12.60%        4.500s        4.500s       0.000us         0.00%       21.361s       21.361s           0 b           0 b           0 b     -35.13 Gb             1  
                                          forward_run_3         0.00%     917.475us        12.61%        4.501s        4.501s       0.000us         0.00%       21.321s       21.321s           0 b           0 b           0 b     -35.13 Gb             1  
                                          forward_run_4         0.00%     935.127us        12.60%        4.500s        4.500s       0.000us         0.00%       21.317s       21.317s           0 b           0 b           0 b     -35.13 Gb             1  
                                            aten::copy_         0.03%       9.965ms        13.11%        4.679s       3.466ms        3.630s        10.17%       21.129s      15.651ms           0 b           0 b           0 b           0 b          1350  
                                           aten::conv1d         0.00%     557.868us         7.88%        2.813s      20.835ms       0.000us         0.00%       19.785s     146.552ms           0 b           0 b     810.01 Gb           0 b           135  
                                      aten::convolution         0.00%     784.618us         7.88%        2.812s      20.831ms       0.000us         0.00%       19.785s     146.552ms           0 b           0 b     810.01 Gb     -18.00 Gb           135  
