-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                           aten::linear         0.10%       1.627ms         4.64%      72.275ms     108.685us       0.000us         0.00%     687.554ms       1.034ms           0 b           0 b      79.69 Gb           0 b           665  
                                           aten::matmul         0.14%       2.219ms         3.76%      58.683ms      90.981us       0.000us         0.00%     663.494ms       1.029ms           0 b           0 b      78.16 Gb           0 b           645  
                                               aten::mm         0.67%      10.399ms         3.48%      54.163ms      83.974us     521.947ms        33.80%     663.494ms       1.029ms           0 b           0 b      78.16 Gb      78.16 Gb           645  
                                          forward_run_1         0.05%     850.268us         6.12%      95.453ms      95.453ms       0.000us         0.00%     357.493ms     357.493ms           0 b           0 b           0 b      -2.20 Gb             1  
                                          forward_run_0         0.07%       1.098ms         6.26%      97.634ms      97.634ms       0.000us         0.00%     356.355ms     356.355ms           0 b           0 b           0 b      -2.20 Gb             1  
                                          forward_run_4         0.05%     843.964us         6.14%      95.711ms      95.711ms       0.000us         0.00%     343.912ms     343.912ms           0 b           0 b           0 b      -2.20 Gb             1  
                                          forward_run_2         0.05%     847.705us         6.09%      94.943ms      94.943ms       0.000us         0.00%     341.811ms     341.811ms           0 b           0 b           0 b      -2.20 Gb             1  
                                          forward_run_3         0.06%     899.081us         6.14%      95.678ms      95.678ms       0.000us         0.00%     340.597ms     340.597ms           0 b           0 b           0 b      -2.20 Gb             1  
              nvjet_tst_192x192_64x4_2x1_v_bz_coopB_TNN         0.00%       0.000us         0.00%       0.000us       0.000us     312.140ms        20.21%     312.140ms     975.436us           0 b           0 b           0 b           0 b           320  
                                          forward_run_1         0.00%       0.000us         0.00%       0.000us       0.000us     311.886ms        20.20%     311.886ms     311.886ms           0 b           0 b           0 b           0 b             1  
