-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                           aten::linear         0.02%       1.691ms         4.32%     297.074ms     446.727us       0.000us         0.00%        3.198s       4.809ms           0 b           0 b     318.75 Gb           0 b           665  
                                           aten::matmul         0.03%       2.347ms         3.94%     270.566ms     419.481us       0.000us         0.00%        3.074s       4.766ms           0 b           0 b     312.66 Gb           0 b           645  
                                               aten::mm         0.16%      10.975ms         3.87%     265.628ms     411.827us        2.131s        31.09%        3.074s       4.766ms           0 b           0 b     312.66 Gb     312.66 Gb           645  
                                    Command Buffer Full        33.28%        2.286s        33.28%        2.286s       1.175ms        2.552s        37.23%        2.552s       1.312ms           0 b           0 b           0 b           0 b          1945  
                                          forward_run_4         0.01%     913.934us         7.39%     507.526ms     507.526ms       0.000us         0.00%        1.815s        1.815s           0 b           0 b           0 b      -8.78 Gb             1  
                                          forward_run_1         0.02%       1.044ms         7.37%     506.305ms     506.305ms       0.000us         0.00%        1.810s        1.810s           0 b           0 b           0 b      -8.78 Gb             1  
                                          forward_run_3         0.01%     886.020us         7.34%     504.410ms     504.410ms       0.000us         0.00%        1.803s        1.803s           0 b           0 b           0 b      -8.78 Gb             1  
                                          forward_run_0         0.01%       1.015ms         7.32%     502.894ms     502.894ms       0.000us         0.00%        1.794s        1.794s           0 b           0 b           0 b      -8.78 Gb             1  
                                          forward_run_2         0.01%     974.312us         7.31%     502.089ms     502.089ms       0.000us         0.00%        1.790s        1.790s           0 b           0 b           0 b      -8.78 Gb             1  
                                              aten::mul         0.12%       8.044ms         5.42%     372.338ms     295.506us     961.152ms        14.02%        1.603s       1.273ms           0 b           0 b    1035.02 Gb    1035.02 Gb          1260  
