-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                           aten::linear         0.13%       1.667ms         4.27%      56.513ms      84.982us       0.000us         0.00%     661.252ms     994.364us           0 b           0 b      79.69 Gb           0 b           665  
                                           aten::matmul         0.18%       2.368ms         3.59%      47.475ms      73.605us       0.000us         0.00%     635.714ms     985.603us           0 b           0 b      78.16 Gb           0 b           645  
                                               aten::mm         0.83%      11.023ms         3.23%      42.780ms      66.325us     529.249ms        40.45%     635.714ms     985.603us           0 b           0 b      78.16 Gb      78.16 Gb           645  
              nvjet_tst_192x192_64x4_2x1_v_bz_coopB_TNN         0.00%       0.000us         0.00%       0.000us       0.000us     313.406ms        23.95%     313.406ms     979.395us           0 b           0 b           0 b           0 b           320  
                                          forward_run_1         0.06%     810.217us         5.39%      71.225ms      71.225ms       0.000us         0.00%     283.576ms     283.576ms           0 b           0 b           0 b      -2.20 Gb             1  
                                          forward_run_0         0.06%     852.334us         5.43%      71.875ms      71.875ms       0.000us         0.00%     281.872ms     281.872ms           0 b           0 b           0 b      -2.20 Gb             1  
                                          forward_run_4         0.06%     797.821us         5.45%      72.041ms      72.041ms       0.000us         0.00%     271.894ms     271.894ms           0 b           0 b           0 b      -2.20 Gb             1  
                                          forward_run_3         0.06%     809.142us         5.37%      70.989ms      70.989ms       0.000us         0.00%     269.839ms     269.839ms           0 b           0 b           0 b      -2.20 Gb             1  
                                          forward_run_2         0.06%     781.709us         5.36%      70.940ms      70.940ms       0.000us         0.00%     269.347ms     269.347ms           0 b           0 b           0 b      -2.20 Gb             1  
                                          forward_run_4         0.00%       0.000us         0.00%       0.000us       0.000us     266.923ms        20.40%     266.923ms     266.923ms           0 b           0 b           0 b           0 b             1  
