-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                           aten::linear         0.01%       1.675ms         4.92%     667.466ms       1.004ms       0.000us         0.00%        7.242s      10.891ms           0 b           0 b     637.50 Gb           0 b           665  
                                           aten::matmul         0.02%       2.415ms         4.68%     635.341ms     985.025us       0.000us         0.00%        6.993s      10.842ms           0 b           0 b     625.31 Gb           0 b           645  
                                               aten::mm         0.08%      11.529ms         4.64%     630.388ms     977.346us        4.268s        31.48%        6.993s      10.842ms           0 b           0 b     625.31 Gb     625.31 Gb           645  
                                    Command Buffer Full        37.37%        5.072s        37.37%        5.072s       2.159ms        5.551s        40.94%        5.551s       2.363ms           0 b           0 b           0 b           0 b          2349  
                                          forward_run_2         0.01%     820.437us         7.82%        1.062s        1.062s       0.000us         0.00%        3.635s        3.635s           0 b           0 b           0 b     -17.56 Gb             1  
                                          forward_run_4         0.01%     834.218us         7.82%        1.062s        1.062s       0.000us         0.00%        3.627s        3.627s           0 b           0 b           0 b     -17.56 Gb             1  
                                          forward_run_3         0.01%     875.704us         7.86%        1.067s        1.067s       0.000us         0.00%        3.620s        3.620s           0 b           0 b           0 b     -17.56 Gb             1  
                                          forward_run_1         0.01%     844.466us         7.81%        1.060s        1.060s       0.000us         0.00%        3.617s        3.617s           0 b           0 b           0 b     -17.56 Gb             1  
                                          forward_run_0         0.01%     906.605us         7.84%        1.065s        1.065s       0.000us         0.00%        3.607s        3.607s           0 b           0 b           0 b     -17.56 Gb             1  
                                            aten::copy_         0.05%       6.585ms         8.91%        1.209s     866.811us        1.819s        13.42%        3.241s       2.323ms           0 b           0 b           0 b           0 b          1395  
                                           aten::conv1d         0.00%     421.163us         2.90%     394.112ms       2.919ms       0.000us         0.00%        3.146s      23.301ms           0 b           0 b     405.01 Gb           0 b           135  
