-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                           aten::linear         0.03%       1.678ms         6.85%     403.997ms     607.515us       0.000us         0.00%        3.201s       4.814ms           0 b           0 b     318.75 Gb           0 b           665  
                                           aten::matmul         0.04%       2.336ms         6.45%     380.678ms     590.199us       0.000us         0.00%        3.082s       4.778ms           0 b           0 b     312.66 Gb           0 b           645  
                                               aten::mm         0.20%      11.556ms         6.37%     375.905ms     582.799us        2.148s        36.50%        3.082s       4.778ms           0 b           0 b     312.66 Gb     312.66 Gb           645  
                                          forward_run_3         0.01%     841.187us         5.55%     327.221ms     327.221ms       0.000us         0.00%        1.350s        1.350s           0 b           0 b           0 b      -8.78 Gb             1  
                                          forward_run_1         0.01%     872.508us         5.55%     327.337ms     327.337ms       0.000us         0.00%        1.345s        1.345s           0 b           0 b           0 b      -8.78 Gb             1  
                                          forward_run_0         0.02%     923.892us         5.52%     325.744ms     325.744ms       0.000us         0.00%        1.344s        1.344s           0 b           0 b           0 b      -8.78 Gb             1  
                                          forward_run_4         0.02%     963.121us         5.53%     325.940ms     325.940ms       0.000us         0.00%        1.344s        1.344s           0 b           0 b           0 b      -8.78 Gb             1  
                                          forward_run_2         0.01%     854.562us         5.54%     327.020ms     327.020ms       0.000us         0.00%        1.340s        1.340s           0 b           0 b           0 b      -8.78 Gb             1  
                                    Command Buffer Full        23.70%        1.398s        23.70%        1.398s       1.139ms        1.330s        22.60%        1.330s       1.084ms           0 b           0 b           0 b           0 b          1227  
              nvjet_tst_192x192_64x4_1x2_h_bz_coopB_TNN         0.00%       0.000us         0.00%       0.000us       0.000us        1.226s        20.84%        1.226s       3.832ms           0 b           0 b           0 b           0 b           320  
