-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                    Command Buffer Full        48.58%       15.467s        48.58%       15.467s       3.236ms       30.155s        94.78%       30.155s       6.310ms           0 b           0 b           0 b           0 b          4779  
                                       cudaLaunchKernel         0.12%      37.176ms        42.74%       13.607s       1.659ms       0.000us         0.00%       19.359s       2.361ms           0 b           0 b           0 b           0 b          8200  
                                           aten::linear         0.01%       1.806ms         1.81%     577.825ms     868.910us       0.000us         0.00%       16.478s      24.779ms           0 b           0 b    1275.00 Gb           0 b           665  
                                           aten::matmul         0.01%       2.714ms         1.71%     542.872ms     841.662us       0.000us         0.00%       15.899s      24.649ms           0 b           0 b    1250.62 Gb           0 b           645  
                                               aten::mm         0.04%      12.764ms         1.69%     537.266ms     832.971us        8.653s        27.20%       15.899s      24.649ms           0 b           0 b    1250.62 Gb    1250.62 Gb           645  
                                 FlashAttnQKVPackedFunc         0.00%       1.383ms         0.22%      70.784ms       2.831ms       0.000us         0.00%       15.159s     606.352ms           0 b           0 b      25.00 Gb    -400.01 Mb            25  
                        flash_attn::_flash_attn_forward         0.01%       2.306ms         0.22%      68.486ms       2.739ms        9.470s        29.76%       15.159s     606.352ms           0 b           0 b      25.39 Gb           0 b            25  
                                            aten::copy_         0.03%      10.432ms        26.06%        8.295s       5.947ms        3.644s        11.45%       14.547s      10.428ms           0 b           0 b           0 b           0 b          1395  
                                           aten::conv1d         0.00%     482.577us        22.33%        7.109s      52.660ms       0.000us         0.00%       13.863s     102.692ms           0 b           0 b     810.01 Gb           0 b           135  
                                      aten::convolution         0.00%     659.063us        22.33%        7.109s      52.656ms       0.000us         0.00%       13.863s     102.692ms           0 b           0 b     810.01 Gb     -24.00 Gb           135  
