-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                           aten::linear         0.01%       2.895ms        26.13%        7.267s       6.987ms       0.000us         0.00%       28.825s      27.716ms           0 b           0 b     997.50 Gb           0 b          1040  
                                           aten::matmul         0.02%       4.380ms        25.11%        6.982s       6.947ms       0.000us         0.00%       28.077s      27.938ms           0 b           0 b     977.66 Gb           0 b          1005  
                                               aten::mm         0.07%      19.976ms        25.08%        6.973s       6.938ms       13.983s        50.32%       28.077s      27.938ms           0 b           0 b     977.66 Gb     977.66 Gb          1005  
                                    Command Buffer Full        55.26%       15.367s        55.26%       15.367s       3.088ms       20.429s        73.52%       20.429s       4.105ms           0 b           0 b           0 b           0 b          4977  
              nvjet_tst_192x192_64x4_2x1_v_bz_coopB_TNN         0.00%       0.000us         0.00%       0.000us       0.000us       11.994s        43.17%       11.994s      15.991ms           0 b           0 b           0 b           0 b           750  
                                          forward_run_3         0.01%       1.568ms        11.36%        3.158s        3.158s       0.000us         0.00%        9.127s        9.127s           0 b           0 b           0 b     -26.53 Gb             1  
                                          forward_run_2         0.01%       1.527ms        11.32%        3.149s        3.149s       0.000us         0.00%        9.126s        9.126s           0 b           0 b           0 b     -26.53 Gb             1  
                                          forward_run_4         0.00%       1.298ms        11.38%        3.164s        3.164s       0.000us         0.00%        9.110s        9.110s           0 b           0 b           0 b     -26.53 Gb             1  
                                          forward_run_1         0.00%       1.265ms        11.32%        3.148s        3.148s       0.000us         0.00%        9.086s        9.086s           0 b           0 b           0 b     -26.53 Gb             1  
                                          forward_run_0         0.01%       1.440ms        11.31%        3.144s        3.144s       0.000us         0.00%        9.086s        9.086s           0 b           0 b           0 b     -26.53 Gb             1  
