-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                    Command Buffer Full        68.26%       41.463s        68.26%       41.463s       4.228ms       75.357s       124.13%       75.357s       7.684ms           0 b           0 b           0 b           0 b          9807  
                                           aten::linear         0.00%       3.000ms         2.22%        1.347s       1.296ms       0.000us         0.00%       62.830s      60.413ms           0 b           0 b    1995.00 Gb           0 b          1040  
                                           aten::matmul         0.01%       4.649ms         2.08%        1.263s       1.257ms       0.000us         0.00%       61.332s      61.027ms           0 b           0 b    1955.31 Gb           0 b          1005  
                                               aten::mm         0.03%      20.634ms         2.06%        1.254s       1.248ms       28.842s        47.51%       61.332s      61.027ms           0 b           0 b    1955.31 Gb    1955.31 Gb          1005  
                                       cudaLaunchKernel         0.10%      59.755ms        57.87%       35.148s       2.757ms       0.000us         0.00%       35.491s       2.784ms           0 b           0 b           0 b           0 b         12750  
                                            aten::copy_         0.03%      16.756ms        31.69%       19.247s       8.870ms        5.842s         9.62%       29.748s      13.709ms           0 b           0 b           0 b           0 b          2170  
                                           aten::conv1d         0.00%     779.079us        27.04%       16.425s      78.213ms       0.000us         0.00%       28.206s     134.314ms           0 b           0 b    1260.04 Gb           0 b           210  
                                      aten::convolution         0.00%       1.042ms        27.04%       16.424s      78.209ms       0.000us         0.00%       28.206s     134.314ms           0 b           0 b    1260.04 Gb     -30.00 Gb           210  
                                     aten::_convolution         0.01%       3.224ms        27.04%       16.423s      78.204ms       0.000us         0.00%       28.206s     134.314ms           0 b           0 b    1290.04 Gb   -1230.00 Gb           210  
                                          forward_run_0         0.00%       1.478ms        13.81%        8.390s        8.390s       0.000us         0.00%       26.155s       26.155s           0 b           0 b           0 b     -53.06 Gb             1  
