-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                    Command Buffer Full        62.74%       22.438s        62.74%       22.438s       2.750ms       75.291s       210.70%       75.291s       9.227ms           0 b           0 b           0 b           0 b          8160  
                                       cudaLaunchKernel         0.13%      46.243ms        40.64%       14.534s       1.213ms       0.000us         0.00%       59.765s       4.989ms           0 b           0 b           0 b           0 b         11980  
                                              aten::mul         0.03%      11.812ms         8.95%        3.202s       2.372ms        3.984s        11.15%       29.238s      21.658ms           0 b           0 b    4410.08 Gb    4410.08 Gb          1350  
                                          forward_run_3         0.00%       1.064ms        12.74%        4.555s        4.555s       0.000us         0.00%       21.977s       21.977s           0 b           0 b           0 b     -35.13 Gb             1  
                                          forward_run_0         0.00%       1.043ms        12.68%        4.534s        4.534s       0.000us         0.00%       21.976s       21.976s           0 b           0 b           0 b     -35.13 Gb             1  
                                          forward_run_2         0.00%     993.457us        12.72%        4.547s        4.547s       0.000us         0.00%       21.944s       21.944s           0 b           0 b           0 b     -35.13 Gb             1  
                                          forward_run_1         0.00%       1.037ms        12.71%        4.545s        4.545s       0.000us         0.00%       21.874s       21.874s           0 b           0 b           0 b     -35.13 Gb             1  
                                          forward_run_4         0.00%     908.553us        12.72%        4.548s        4.548s       0.000us         0.00%       21.833s       21.833s           0 b           0 b           0 b     -35.13 Gb             1  
                                           aten::linear         0.01%       1.949ms         2.63%     941.681ms       1.416ms       0.000us         0.00%       19.627s      29.514ms           0 b           0 b    1275.00 Gb           0 b           665  
                                           aten::matmul         0.01%       2.573ms         2.42%     866.196ms       1.343ms       0.000us         0.00%       19.023s      29.492ms           0 b           0 b    1250.62 Gb           0 b           645  
