-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                           aten::linear         0.03%       1.725ms         5.31%     365.469ms     549.578us       0.000us         0.00%        3.462s       5.206ms           0 b           0 b     318.75 Gb           0 b           665  
                                           aten::matmul         0.03%       2.118ms         4.63%     318.669ms     494.061us       0.000us         0.00%        3.329s       5.161ms           0 b           0 b     312.66 Gb           0 b           645  
                                               aten::mm         0.16%      11.083ms         4.56%     314.279ms     487.254us        2.128s        30.96%        3.329s       5.161ms           0 b           0 b     312.66 Gb     312.66 Gb           645  
                                    Command Buffer Full        33.63%        2.317s        33.63%        2.317s       1.169ms        3.072s        44.69%        3.072s       1.550ms           0 b           0 b           0 b           0 b          1982  
                                          forward_run_4         0.01%     830.010us         7.35%     506.423ms     506.423ms       0.000us         0.00%        1.936s        1.936s           0 b           0 b           0 b      -8.78 Gb             1  
                                          forward_run_1         0.01%     920.952us         7.32%     504.539ms     504.539ms       0.000us         0.00%        1.924s        1.924s           0 b           0 b           0 b      -8.78 Gb             1  
                                          forward_run_2         0.01%     822.350us         7.37%     507.797ms     507.797ms       0.000us         0.00%        1.923s        1.923s           0 b           0 b           0 b      -8.78 Gb             1  
                                          forward_run_3         0.01%     851.939us         7.38%     508.397ms     508.397ms       0.000us         0.00%        1.920s        1.920s           0 b           0 b           0 b      -8.78 Gb             1  
                                          forward_run_0         0.01%     902.563us         7.36%     506.890ms     506.890ms       0.000us         0.00%        1.905s        1.905s           0 b           0 b           0 b      -8.78 Gb             1  
                                              aten::mul         0.12%       8.235ms         7.23%     497.953ms     368.854us        1.016s        14.78%        1.631s       1.208ms           0 b           0 b    1102.52 Gb    1102.52 Gb          1350  
